city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Hoofddorp,52.3061,4.6907,Netherlands,NL,Noord-Holland,minor,77885,77885
Vlaardingen,51.9000,4.3500,Netherlands,NL,Zuid-Holland,minor,73924,73924
Gouda,52.0111,4.7111,Netherlands,NL,Zuid-Holland,minor,73681,73681
Hoorn,52.6500,5.0667,Netherlands,NL,Noord-Holland,minor,73619,73619
Almelo,52.3500,6.6667,Netherlands,NL,Overijssel,minor,73132,73132
Spijkenisse,51.8500,4.3333,Netherlands,NL,Zuid-Holland,minor,72740,72740
Amstelveen,52.3000,4.8500,Netherlands,NL,Noord-Holland,minor,69823,69823
Assen,53.0000,6.5667,Netherlands,NL,Drenthe,admin,68836,68836
Velsen-Zuid,52.4667,4.6167,Netherlands,NL,Noord-Holland,,68617,68617
Capelle aan den IJssel,51.9333,4.5833,Netherlands,NL,Zuid-Holland,minor,67319,67319
Veenendaal,52.0167,5.5500,Netherlands,NL,Utrecht,minor,66912,66912
Katwijk,52.2000,4.4167,Netherlands,NL,Zuid-Holland,minor,66607,66607
Zeist,52.0906,5.2331,Netherlands,NL,Utrecht,minor,65043,65043
Nieuwegein,52.0333,5.0833,Netherlands,NL,Utrecht,minor,63866,63866
Scheveningen,52.1081,4.2731,Netherlands,NL,Zuid-Holland,,58850,58850
Heerhugowaard,52.6667,4.8333,Netherlands,NL,Noord-Holland,minor,58387,58387
Roermond,51.2000,5.9833,Netherlands,NL,Limburg,minor,57308,57308
Oosterhout,51.6333,4.8667,Netherlands,NL,Noord-Brabant,minor,56206,56206
Rijswijk,52.0333,4.3167,Netherlands,NL,Zuid-Holland,minor,55220,55220
Houten,52.0333,5.1667,Netherlands,NL,Utrecht,minor,50223,50223
Middelburg,51.5000,3.6167,Netherlands,NL,Zeeland,admin,49956,49956
Harderwijk,52.3500,5.6167,Netherlands,NL,Gelderland,minor,48726,48726
Barendrecht,51.8500,4.5333,Netherlands,NL,Zuid-Holland,minor,48643,48643
IJmuiden,52.4586,4.6194,Netherlands,NL,Noord-Holland,minor,48320,48320
Zutphen,52.1400,6.1950,Netherlands,NL,Gelderland,minor,47423,47423
Soest,52.1833,5.3000,Netherlands,NL,Utrecht,minor,46906,46906
Ridderkerk,51.8667,4.6000,Netherlands,NL,Zuid-Holland,minor,46671,46671
Schagen,52.7833,4.8000,Netherlands,NL,Noord-Holland,minor,46553,46532
Veldhoven,51.4200,5.4050,Netherlands,NL,Noord-Brabant,minor,45500,45500
Kerkrade,50.8667,6.0667,Netherlands,NL,Limburg,minor,45442,45442
Zwijndrecht,51.8167,4.6500,Netherlands,NL,Zuid-Holland,minor,44775,44775
Zevenaar,51.9167,6.0667,Netherlands,NL,Gelderland,minor,44096,44096
Noordwijk,52.2333,4.4500,Netherlands,NL,Zuid-Holland,minor,44062,44062
Etten-Leur,51.5667,4.6333,Netherlands,NL,Noord-Brabant,minor,43869,43869
Tiel,51.8833,5.4333,Netherlands,NL,Gelderland,minor,41920,41920
Beverwijk,52.4833,4.6500,Netherlands,NL,Noord-Holland,minor,41863,41863
Huizen,52.3000,5.2500,Netherlands,NL,Noord-Holland,minor,41090,41090
Hellevoetsluis,51.8167,4.1333,Netherlands,NL,Zuid-Holland,minor,40312,40312
Maarssen,52.1351,5.0413,Netherlands,NL,Utrecht,minor,39752,39752
Wageningen,51.9667,5.6667,Netherlands,NL,Gelderland,minor,39635,39635
Heemskerk,52.5167,4.6667,Netherlands,NL,Noord-Holland,minor,39191,39191
Veghel,51.6167,5.5500,Netherlands,NL,Noord-Brabant,minor,38077,38077
Teijlingen,52.2167,4.4833,Netherlands,NL,Zuid-Holland,,37791,37791
Venlo,51.3667,6.1667,Netherlands,NL,Limburg,minor,37663,37663
Gorinchem,51.8306,4.9742,Netherlands,NL,Zuid-Holland,minor,37410,37410
Landgraaf,50.9000,6.0167,Netherlands,NL,Limburg,minor,37262,37262
Sittard,51.0000,5.8667,Netherlands,NL,Limburg,minor,37085,37085
Hoogvliet,51.8667,4.3500,Netherlands,NL,Zuid-Holland,,35575,35575
Maassluis,51.9333,4.2333,Netherlands,NL,Zuid-Holland,minor,33567,33567
Bussum,52.2833,5.1667,Netherlands,NL,Noord-Holland,minor,32410,32410
Papendrecht,51.8333,4.6833,Netherlands,NL,Zuid-Holland,minor,32171,32171
Aalsmeer,52.2667,4.7500,Netherlands,NL,Noord-Holland,minor,31991,31991
Oldenzaal,52.3167,6.9333,Netherlands,NL,Overijssel,minor,31701,31701
Vught,51.6500,5.3000,Netherlands,NL,Noord-Brabant,minor,31669,31669
Nieuw-Vennep,52.2644,4.6347,Netherlands,NL,Noord-Holland,,31415,31415
Waddinxveen,52.0500,4.6500,Netherlands,NL,Zuid-Holland,minor,31342,31342
Diemen,52.3333,4.9667,Netherlands,NL,Noord-Holland,minor,31334,31334
Hendrik-Ido-Ambacht,51.8500,4.6333,Netherlands,NL,Zuid-Holland,minor,31258,31258
Rosmalen,51.7167,5.3667,Netherlands,NL,Noord-Brabant,,31219,31219
Best,51.5167,5.4000,Netherlands,NL,Noord-Brabant,minor,30216,30216
Uithoorn,52.2333,4.8333,Netherlands,NL,Noord-Holland,minor,30206,30206
Krimpen aan den IJssel,51.9167,4.5833,Netherlands,NL,Zuid-Holland,minor,29410,29410
Culemborg,51.9536,5.2261,Netherlands,NL,Gelderland,minor,29121,29121
Geldrop,51.4222,5.5578,Netherlands,NL,Noord-Brabant,minor,28001,28001
Langedijk,52.6833,4.8000,Netherlands,NL,Noord-Holland,,27992,27992
Vleuten,52.1081,5.0150,Netherlands,NL,Utrecht,,27815,27815
Brunssum,50.9500,5.9667,Netherlands,NL,Limburg,minor,27670,27670
Heemstede,52.3500,4.6167,Netherlands,NL,Noord-Holland,minor,27545,27545
Leiderdorp,52.1667,4.5333,Netherlands,NL,Zuid-Holland,minor,27377,27377
Blerick,51.3667,6.1500,Netherlands,NL,Limburg,,27330,27330
Pijnacker,52.0167,4.4333,Netherlands,NL,Zuid-Holland,minor,27130,27130
Dongen,51.6333,4.9333,Netherlands,NL,Noord-Brabant,minor,26368,26368
Voorschoten,52.1333,4.4500,Netherlands,NL,Zuid-Holland,minor,25650,25650
Sliedrecht,51.8167,4.7667,Netherlands,NL,Zuid-Holland,minor,25597,25597
Oegstgeest,52.1833,4.4667,Netherlands,NL,Zuid-Holland,minor,25064,25064
Stein,50.9667,5.7667,Netherlands,NL,Limburg,minor,24875,24875
Oud-Beijerland,51.8167,4.4000,Netherlands,NL,Zuid-Holland,minor,24301,24301
Heiloo,52.6000,4.7167,Netherlands,NL,Noord-Holland,minor,24144,24144
Borne,52.3000,6.7500,Netherlands,NL,Overijssel,minor,23668,23668
Lisse,52.2500,4.5500,Netherlands,NL,Zuid-Holland,minor,22982,22982
Volendam,52.4994,5.0675,Netherlands,NL,Noord-Holland,minor,22715,22715
Hillegom,52.2833,4.5833,Netherlands,NL,Zuid-Holland,minor,22197,22197
’s-Gravenzande,52.0000,4.1667,Netherlands,NL,Zuid-Holland,,22190,22190
